,job_name,job_href,job_site,job_price_min,job_price_max,job_price_currency
96,Senior Embedded Linux Kernel Engineer (to Armenia),https://ekaterinburg.hh.ru/vacancy/67488012?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
97,Системный администратор,https://ekaterinburg.hh.ru/vacancy/66718263?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,60000,0,руб.
98,Специалист по целевому маркетингу / Маркетолог-аналитик,https://ekaterinburg.hh.ru/vacancy/67435312?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
99,Unity разработчик (Middle / Senior),https://ekaterinburg.hh.ru/vacancy/67437428?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
100,IOS разработчик мобильных приложений (Middle / Senior),https://ekaterinburg.hh.ru/vacancy/67437347?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
101,Android разработчик мобильных приложений (Middle / Senior),https://ekaterinburg.hh.ru/vacancy/67437437?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
102,Senior Data Scientist,https://ekaterinburg.hh.ru/vacancy/67409359?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
103,DevOps-инженер,https://ekaterinburg.hh.ru/vacancy/66192348?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
104,QA-инженер в команду UGC,https://ekaterinburg.hh.ru/vacancy/67044510?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
105,Middle+ QA-инженер в команду Otello,https://ekaterinburg.hh.ru/vacancy/67401193?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
106,Разработчик ETL\DWH [id9725],https://ekaterinburg.hh.ru/vacancy/66824232?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
107,Specialist DevOps,https://ekaterinburg.hh.ru/vacancy/41777040?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,280000,руб.
108,QA Team Lead,https://ekaterinburg.hh.ru/vacancy/66765307?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
109,Системный программист С/С++,https://ekaterinburg.hh.ru/vacancy/67388657?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
110,Программист 1C,https://ekaterinburg.hh.ru/vacancy/67407340?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
111,DevOps инженер,https://ekaterinburg.hh.ru/vacancy/66913220?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,160000,0,руб.
112,Инженер данных DWH в Маркет,https://ekaterinburg.hh.ru/vacancy/66855503?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
